feature,importance,target
fibs_stiffness_med_BM_1_observed_count,2,risk_hepatic_event
plt_observed_count,2,risk_hepatic_event
triglyc_observed_count,2,risk_hepatic_event
gender,1,risk_hepatic_event
bariatric_surgery,1,risk_hepatic_event
Age_v6,1,risk_hepatic_event
Age_v9,1,risk_hepatic_event
Age_v12,1,risk_hepatic_event
Age_v13,1,risk_hepatic_event
BMI_v14,1,risk_hepatic_event
alt_v7,1,risk_hepatic_event
alt_v14,1,risk_hepatic_event
alt_v15,1,risk_hepatic_event
ast_v13,1,risk_hepatic_event
bilirubin_v11,1,risk_hepatic_event
bilirubin_v13,1,risk_hepatic_event
chol_v12,1,risk_hepatic_event
chol_v15,1,risk_hepatic_event
ggt_v10,1,risk_hepatic_event
ggt_v11,1,risk_hepatic_event
gluc_fast_v7,1,risk_hepatic_event
gluc_fast_v9,1,risk_hepatic_event
gluc_fast_v10,1,risk_hepatic_event
plt_v12,1,risk_hepatic_event
triglyc_v7,1,risk_hepatic_event
aixp_aix_result_BM_3_v12,1,risk_hepatic_event
fibrotest_BM_2_v7,1,risk_hepatic_event
fibrotest_BM_2_v9,1,risk_hepatic_event
fibs_stiffness_med_BM_1_v10,1,risk_hepatic_event
aixp_aix_result_BM_3_observed_count,1,risk_hepatic_event
bariatric_surgery_age,0,risk_hepatic_event
Age_v10,0,risk_hepatic_event
Age_v11,0,risk_hepatic_event
Age_v14,0,risk_hepatic_event
Age_v15,0,risk_hepatic_event
Age_v16,0,risk_hepatic_event
Age_v17,0,risk_hepatic_event
Age_v18,0,risk_hepatic_event
Age_v19,0,risk_hepatic_event
Age_v20,0,risk_hepatic_event
Age_v21,0,risk_hepatic_event
Age_v22,0,risk_hepatic_event
BMI_v8,0,risk_hepatic_event
BMI_v9,0,risk_hepatic_event
BMI_v15,0,risk_hepatic_event
BMI_v16,0,risk_hepatic_event
BMI_v17,0,risk_hepatic_event
BMI_v18,0,risk_hepatic_event
BMI_v19,0,risk_hepatic_event
BMI_v20,0,risk_hepatic_event
BMI_v21,0,risk_hepatic_event
BMI_v22,0,risk_hepatic_event
alt_v11,0,risk_hepatic_event
alt_v12,0,risk_hepatic_event
alt_v13,0,risk_hepatic_event
alt_v16,0,risk_hepatic_event
alt_v17,0,risk_hepatic_event
alt_v18,0,risk_hepatic_event
alt_v19,0,risk_hepatic_event
alt_v20,0,risk_hepatic_event
alt_v21,0,risk_hepatic_event
ast_v14,0,risk_hepatic_event
ast_v15,0,risk_hepatic_event
ast_v16,0,risk_hepatic_event
ast_v17,0,risk_hepatic_event
ast_v18,0,risk_hepatic_event
ast_v19,0,risk_hepatic_event
ast_v20,0,risk_hepatic_event
ast_v21,0,risk_hepatic_event
bilirubin_v8,0,risk_hepatic_event
bilirubin_v9,0,risk_hepatic_event
bilirubin_v12,0,risk_hepatic_event
bilirubin_v14,0,risk_hepatic_event
bilirubin_v15,0,risk_hepatic_event
bilirubin_v16,0,risk_hepatic_event
bilirubin_v17,0,risk_hepatic_event
bilirubin_v18,0,risk_hepatic_event
bilirubin_v19,0,risk_hepatic_event
bilirubin_v20,0,risk_hepatic_event
bilirubin_v21,0,risk_hepatic_event
chol_v9,0,risk_hepatic_event
chol_v10,0,risk_hepatic_event
chol_v11,0,risk_hepatic_event
chol_v13,0,risk_hepatic_event
chol_v14,0,risk_hepatic_event
chol_v16,0,risk_hepatic_event
chol_v17,0,risk_hepatic_event
chol_v18,0,risk_hepatic_event
chol_v19,0,risk_hepatic_event
chol_v20,0,risk_hepatic_event
chol_v21,0,risk_hepatic_event
ggt_v9,0,risk_hepatic_event
ggt_v14,0,risk_hepatic_event
ggt_v15,0,risk_hepatic_event
ggt_v16,0,risk_hepatic_event
ggt_v17,0,risk_hepatic_event
ggt_v18,0,risk_hepatic_event
ggt_v19,0,risk_hepatic_event
ggt_v20,0,risk_hepatic_event
ggt_v21,0,risk_hepatic_event
gluc_fast_v8,0,risk_hepatic_event
gluc_fast_v11,0,risk_hepatic_event
gluc_fast_v13,0,risk_hepatic_event
gluc_fast_v14,0,risk_hepatic_event
gluc_fast_v15,0,risk_hepatic_event
gluc_fast_v16,0,risk_hepatic_event
gluc_fast_v17,0,risk_hepatic_event
gluc_fast_v18,0,risk_hepatic_event
gluc_fast_v19,0,risk_hepatic_event
gluc_fast_v20,0,risk_hepatic_event
gluc_fast_v21,0,risk_hepatic_event
plt_v7,0,risk_hepatic_event
plt_v8,0,risk_hepatic_event
plt_v9,0,risk_hepatic_event
plt_v10,0,risk_hepatic_event
plt_v11,0,risk_hepatic_event
plt_v13,0,risk_hepatic_event
plt_v14,0,risk_hepatic_event
plt_v15,0,risk_hepatic_event
plt_v16,0,risk_hepatic_event
plt_v17,0,risk_hepatic_event
plt_v18,0,risk_hepatic_event
plt_v19,0,risk_hepatic_event
plt_v20,0,risk_hepatic_event
plt_v21,0,risk_hepatic_event
triglyc_v8,0,risk_hepatic_event
triglyc_v9,0,risk_hepatic_event
triglyc_v10,0,risk_hepatic_event
triglyc_v11,0,risk_hepatic_event
triglyc_v12,0,risk_hepatic_event
triglyc_v13,0,risk_hepatic_event
triglyc_v14,0,risk_hepatic_event
triglyc_v15,0,risk_hepatic_event
triglyc_v16,0,risk_hepatic_event
triglyc_v17,0,risk_hepatic_event
triglyc_v18,0,risk_hepatic_event
triglyc_v19,0,risk_hepatic_event
triglyc_v20,0,risk_hepatic_event
triglyc_v21,0,risk_hepatic_event
aixp_aix_result_BM_3_v10,0,risk_hepatic_event
aixp_aix_result_BM_3_v11,0,risk_hepatic_event
aixp_aix_result_BM_3_v13,0,risk_hepatic_event
aixp_aix_result_BM_3_v14,0,risk_hepatic_event
aixp_aix_result_BM_3_v15,0,risk_hepatic_event
aixp_aix_result_BM_3_v16,0,risk_hepatic_event
aixp_aix_result_BM_3_v17,0,risk_hepatic_event
aixp_aix_result_BM_3_v18,0,risk_hepatic_event
aixp_aix_result_BM_3_v19,0,risk_hepatic_event
aixp_aix_result_BM_3_v20,0,risk_hepatic_event
aixp_aix_result_BM_3_v21,0,risk_hepatic_event
fibrotest_BM_2_v12,0,risk_hepatic_event
fibrotest_BM_2_v13,0,risk_hepatic_event
fibrotest_BM_2_v14,0,risk_hepatic_event
fibrotest_BM_2_v15,0,risk_hepatic_event
fibrotest_BM_2_v16,0,risk_hepatic_event
fibrotest_BM_2_v17,0,risk_hepatic_event
fibrotest_BM_2_v18,0,risk_hepatic_event
fibrotest_BM_2_v19,0,risk_hepatic_event
fibrotest_BM_2_v20,0,risk_hepatic_event
fibrotest_BM_2_v21,0,risk_hepatic_event
fibs_stiffness_med_BM_1_v11,0,risk_hepatic_event
fibs_stiffness_med_BM_1_v12,0,risk_hepatic_event
fibs_stiffness_med_BM_1_v13,0,risk_hepatic_event
fibs_stiffness_med_BM_1_v14,0,risk_hepatic_event
fibs_stiffness_med_BM_1_v15,0,risk_hepatic_event
fibs_stiffness_med_BM_1_v16,0,risk_hepatic_event
fibs_stiffness_med_BM_1_v17,0,risk_hepatic_event
fibs_stiffness_med_BM_1_v18,0,risk_hepatic_event
fibs_stiffness_med_BM_1_v19,0,risk_hepatic_event
fibs_stiffness_med_BM_1_v20,0,risk_hepatic_event
fibs_stiffness_med_BM_1_v21,0,risk_hepatic_event
fibs_stiffness_med_BM_1_v22,0,risk_hepatic_event
Age_observed_count,0,risk_hepatic_event
alt_observed_count,0,risk_hepatic_event
bilirubin_observed_count,0,risk_hepatic_event
chol_observed_count,0,risk_hepatic_event
fibrotest_BM_2_observed_count,0,risk_hepatic_event
ggt_observed_count,0,risk_hepatic_event
bilirubin_v3,118,risk_death
ggt_abs_delta_last_first,87,risk_death
fibs_stiffness_med_BM_1_v2,83,risk_death
alt_v3,80,risk_death
alt_v10,79,risk_death
gluc_fast_v2,77,risk_death
aixp_aix_result_BM_3_v1,75,risk_death
gluc_fast_v3,74,risk_death
chol_last_non_null,74,risk_death
BMI_delta_last_first,72,risk_death
Age_v1,71,risk_death
BMI_last_non_null,71,risk_death
gluc_fast_delta_last_first,71,risk_death
triglyc_delta_last_first,71,risk_death
Age_v2,69,risk_death
gluc_fast_last_non_null,67,risk_death
chol_abs_delta_last_first,66,risk_death
chol_first_non_null,65,risk_death
ast_last_non_null,64,risk_death
bilirubin_abs_delta_last_first,64,risk_death
fibrotest_BM_2_last_non_null,64,risk_death
fibrotest_BM_2_delta_last_first,64,risk_death
fibrotest_BM_2_abs_delta_last_first,64,risk_death
ast_v3,62,risk_death
alt_v4,59,risk_death
fibrotest_BM_2_v1,59,risk_death
ggt_v2,58,risk_death
bilirubin_delta_last_first,56,risk_death
chol_delta_last_first,56,risk_death
ggt_first_non_null,56,risk_death
fibs_stiffness_med_BM_1_v3,55,risk_death
triglyc_abs_delta_last_first,53,risk_death
BMI_v2,49,risk_death
aixp_aix_result_BM_3_first_non_null,49,risk_death
aixp_aix_result_BM_3_last_non_null,49,risk_death
fibs_stiffness_med_BM_1_abs_delta_last_first,48,risk_death
ggt_v3,47,risk_death
fibrotest_BM_2_v5,47,risk_death
ast_delta_last_first,47,risk_death
ggt_delta_last_first,47,risk_death
fibrotest_BM_2_v3,46,risk_death
alt_v2,45,risk_death
fibs_stiffness_med_BM_1_v1,45,risk_death
chol_v3,43,risk_death
triglyc_v3,42,risk_death
chol_v2,40,risk_death
ggt_v1,40,risk_death
plt_v2,40,risk_death
fibs_stiffness_med_BM_1_v4,40,risk_death
BMI_abs_delta_last_first,40,risk_death
ggt_last_non_null,40,risk_death
gluc_fast_v1,39,risk_death
gluc_fast_abs_delta_last_first,39,risk_death
plt_first_non_null,39,risk_death
fibrotest_BM_2_v2,38,risk_death
alt_delta_last_first,38,risk_death
BMI_v1,37,risk_death
bilirubin_v4,37,risk_death
aixp_aix_result_BM_3_abs_delta_last_first,37,risk_death
fibs_stiffness_med_BM_1_last_non_null,37,risk_death
ast_v1,35,risk_death
BMI_first_non_null,35,risk_death
chol_v1,34,risk_death
triglyc_v2,34,risk_death
plt_last_non_null,34,risk_death
triglyc_v5,33,risk_death
fibrotest_BM_2_v4,33,risk_death
ast_first_non_null,33,risk_death
alt_abs_delta_last_first,32,risk_death
gluc_fast_first_non_null,32,risk_death
triglyc_v1,31,risk_death
triglyc_v4,31,risk_death
aixp_aix_result_BM_3_v2,31,risk_death
triglyc_last_non_null,31,risk_death
ast_v2,30,risk_death
plt_delta_last_first,30,risk_death
fibs_stiffness_med_BM_1_first_non_null,29,risk_death
fibrotest_BM_2_first_non_null,28,risk_death
BMI_v3,27,risk_death
bilirubin_v1,27,risk_death
plt_v3,27,risk_death
alt_v1,26,risk_death
bilirubin_v2,26,risk_death
fibs_stiffness_med_BM_1_delta_last_first,25,risk_death
Age_v3,24,risk_death
BMI_v4,24,risk_death
aixp_aix_result_BM_3_delta_last_first,24,risk_death
chol_v4,23,risk_death
gluc_fast_v4,23,risk_death
Age_last_non_null,23,risk_death
ast_abs_delta_last_first,23,risk_death
alt_v5,22,risk_death
Age_delta_last_first,22,risk_death
aixp_aix_result_BM_3_v3,21,risk_death
triglyc_first_non_null,21,risk_death
Age_v5,20,risk_death
ggt_v4,20,risk_death
alt_last_non_null,20,risk_death
plt_abs_delta_last_first,20,risk_death
aixp_aix_result_BM_3_v4,18,risk_death
bilirubin_first_non_null,18,risk_death
bilirubin_last_non_null,18,risk_death
BMI_v5,17,risk_death
ast_v4,16,risk_death
ast_v5,16,risk_death
plt_v1,16,risk_death
fibs_stiffness_med_BM_1_observed_count,16,risk_death
fibs_stiffness_med_BM_1_v5,15,risk_death
fibrotest_BM_2_v8,14,risk_death
Age_v6,13,risk_death
ggt_v5,13,risk_death
ggt_v6,13,risk_death
fibs_stiffness_med_BM_1_v6,13,risk_death
alt_v6,12,risk_death
ast_v6,12,risk_death
bilirubin_v6,12,risk_death
chol_v7,12,risk_death
Age_v4,11,risk_death
bilirubin_v5,11,risk_death
chol_v5,11,risk_death
gluc_fast_v6,10,risk_death
fibrotest_BM_2_v6,10,risk_death
fibs_stiffness_med_BM_1_v7,10,risk_death
BMI_v6,9,risk_death
BMI_v8,9,risk_death
triglyc_v6,9,risk_death
triglyc_v7,9,risk_death
aixp_aix_result_BM_3_v5,9,risk_death
gluc_fast_v5,8,risk_death
gluc_fast_v8,8,risk_death
gluc_fast_v11,7,risk_death
fibs_stiffness_med_BM_1_v8,7,risk_death
BMI_observed_count,7,risk_death
alt_first_non_null,7,risk_death
Hypertension,6,risk_death
Dyslipidaemia,6,risk_death
bilirubin_v7,6,risk_death
plt_v4,6,risk_death
Age_first_non_null,6,risk_death
chol_v6,5,risk_death
ggt_v12,5,risk_death
gluc_fast_v7,5,risk_death
plt_v8,5,risk_death
triglyc_v8,5,risk_death
fibrotest_BM_2_v9,5,risk_death
bilirubin_observed_count,5,risk_death
T2DM,4,risk_death
bilirubin_v8,4,risk_death
gluc_fast_v9,4,risk_death
plt_v5,4,risk_death
plt_v6,4,risk_death
fibrotest_BM_2_v7,4,risk_death
BMI_v13,3,risk_death
ast_v7,3,risk_death
bilirubin_v12,3,risk_death
ggt_v8,3,risk_death
gluc_fast_v12,3,risk_death
triglyc_v10,3,risk_death
aixp_aix_result_BM_3_observed_count,3,risk_death
alt_observed_count,3,risk_death
bariatric_surgery,2,risk_death
Age_v7,2,risk_death
BMI_v12,2,risk_death
alt_v8,2,risk_death
alt_v12,2,risk_death
chol_v8,2,risk_death
ggt_v9,2,risk_death
gluc_fast_v13,2,risk_death
plt_v7,2,risk_death
fibs_stiffness_med_BM_1_v9,2,risk_death
fibs_stiffness_med_BM_1_v10,2,risk_death
fibs_stiffness_med_BM_1_v12,2,risk_death
fibs_stiffness_med_BM_1_v13,2,risk_death
Age_observed_count,2,risk_death
plt_observed_count,2,risk_death
gender,1,risk_death
Age_v8,1,risk_death
Age_v9,1,risk_death
Age_v10,1,risk_death
Age_v12,1,risk_death
Age_v15,1,risk_death
BMI_v7,1,risk_death
BMI_v9,1,risk_death
BMI_v10,1,risk_death
BMI_v11,1,risk_death
BMI_v14,1,risk_death
alt_v7,1,risk_death
alt_v9,1,risk_death
alt_v13,1,risk_death
ast_v8,1,risk_death
ast_v10,1,risk_death
ast_v11,1,risk_death
ast_v12,1,risk_death
ast_v13,1,risk_death
bilirubin_v9,1,risk_death
bilirubin_v15,1,risk_death
chol_v11,1,risk_death
chol_v12,1,risk_death
ggt_v7,1,risk_death
ggt_v14,1,risk_death
plt_v12,1,risk_death
triglyc_v9,1,risk_death
triglyc_v12,1,risk_death
triglyc_v15,1,risk_death
aixp_aix_result_BM_3_v6,1,risk_death
aixp_aix_result_BM_3_v8,1,risk_death
aixp_aix_result_BM_3_v11,1,risk_death
aixp_aix_result_BM_3_v12,1,risk_death
fibs_stiffness_med_BM_1_v11,1,risk_death
Age_abs_delta_last_first,1,risk_death
chol_observed_count,1,risk_death
fibrotest_BM_2_observed_count,1,risk_death
bariatric_surgery_age,0,risk_death
Age_v11,0,risk_death
Age_v13,0,risk_death
Age_v14,0,risk_death
Age_v16,0,risk_death
Age_v17,0,risk_death
Age_v18,0,risk_death
Age_v19,0,risk_death
Age_v20,0,risk_death
Age_v21,0,risk_death
Age_v22,0,risk_death
BMI_v15,0,risk_death
BMI_v16,0,risk_death
BMI_v17,0,risk_death
BMI_v18,0,risk_death
BMI_v19,0,risk_death
BMI_v20,0,risk_death
BMI_v21,0,risk_death
BMI_v22,0,risk_death
alt_v11,0,risk_death
alt_v14,0,risk_death
alt_v15,0,risk_death
alt_v16,0,risk_death
alt_v17,0,risk_death
alt_v18,0,risk_death
alt_v19,0,risk_death
alt_v20,0,risk_death
